comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13101,51650,9839,9008,9037,10384,14678,7519,112115
13102,16396,2683,2153,2006,2240,3047,1167,29692
13103,38664,5227,4373,3925,4063,4646,1795,62693
13110,65299,11259,8781,8667,9298,13941,5400,122645
13108,19666,3593,3165,3053,3172,3763,1482,37894
13107,15882,2572,2059,2144,2107,3403,1569,29736
13109,17046,2828,2229,2139,2293,3365,1354,31254
13106,31462,5355,4682,4387,4710,5981,2351,58928
13105,39936,5721,4427,4014,4020,4871,1675,64664
13104,28282,4635,3846,3581,3821,4646,1669,50480
13113,7801,1472,1183,1275,1338,2686,1037,16792
13114,14196,3328,2933,3597,3789,13019,9502,50364
13111,30171,4745,3755,3574,3561,4199,1468,51473
13122,47472,6974,5524,5095,5016,6306,1977,78364
13123,7075,1481,1116,1348,1415,4052,2353,18840
13119,91153,16920,13640,14150,16383,25805,10727,188778
13124,46667,7830,6408,6245,6739,9006,3478,86373
13121,25334,4008,3089,2816,2941,3532,1340,43060
13120,17592,3568,2806,3063,3320,7694,4106,42149
13112,43708,6582,5103,4255,4256,4225,1378,69507
13115,7010,1412,1312,1303,1240,1821,650,14748
13118,20641,3594,2842,2900,3159,4931,2065,40132
13116,24226,3367,2631,2342,2343,2608,805,38322
13117,24450,3900,3155,2992,3216,3701,1576,42990
13201,106571,17661,14191,14141,15400,20676,7638,196278
13131,24110,3399,2605,2267,2482,2784,972,38619
13132,1513,408,386,426,419,1798,687,5637
13129,26263,3474,2750,2687,2803,3805,1640,43422
13130,18219,3229,2480,2706,2945,5233,2512,37324
13125,33394,6397,5158,5223,5861,8632,3166,67831
13128,33311,5290,4198,3932,4022,5121,1902,57776
13126,25842,4530,3612,3477,3665,4783,1962,47871
13127,36489,5570,4541,4161,4333,5367,1943,62404
13601,17250,2259,1895,1955,1983,2760,1143,29245
13501,30179,3998,3432,3131,3163,4130,2120,50153
13504,3389,505,378,353,318,441,158,5542
13602,9964,1222,976,894,910,1160,402,15528
13404,17138,2510,2020,1819,1844,2236,876,28443
13401,58438,9325,7205,6960,7283,9394,3753,102358
13301,24777,3301,2687,2609,2708,3586,1508,41176
13302,20644,2758,2262,2165,2358,3437,1288,34912
13502,1359,187,164,128,176,248,176,2438
13402,20288,3016,2370,2303,2383,3200,1233,34793
13202,4474,711,641,589,583,797,352,8147
13505,2433,330,205,184,148,257,93,3650
13503,8344,1131,919,865,837,1213,567,13876
13203,3282,532,436,414,444,603,255,5966
13403,4280,747,569,504,505,676,283,7564
13303,4189,606,510,450,508,748,342,7353
13603,7520,1145,894,817,734,937,334,12381
13605,15846,2700,2210,2150,2258,3247,1235,29646
13604,13569,2197,1733,1673,1809,2499,980,24460
