Unnamed: 1,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Enero,120578,1001941,1092664,1019266,1223513,1432131,1302037,1148671,837578,496116,561855,340994
Febrero,384716,744033,900793,816077,968116,1109896,1129014,916918,764402,493540,483120,301254
Marzo,783275,1106174,1268534,1144511,1480229,1639866,1613602,1312601,583494,469329,696025,418107
Abril,766443,1173989,1260691,1102854,1440484,1500507,1605842,1097003,213409,308976,627641,324210
Mayo,819339,1129668,1218136,1101079,1510944,1535053,1608932,1026063,219672,352859,597958,304049
Junio,838807,1097420,1238539,1247476,1435911,1387503,1389015,905731,185573,331098,488825,249284
Julio,776973,1026741,1169718,1136726,1336458,1211669,1138304,854063,224513,444185,420827,232835
Agosto,940177,1115033,1368417,1265038,1517851,1358453,1312580,964206,250210,493466,498720,223331
Septiembre,833894,1047083,1295632,1328424,1547179,1340361,1220974,818032,314274,527041,455899,160969
Octubre,983103,1189990,1500168,1433875,1571207,1460657,1394742,939179,468179,563885,465527,182163
Noviembre,994548,1107297,1370415,1408565,1559080,1427298,1324894,995910,493798,576990,481313,205958
Diciembre,957574,1163446,1313602,1371294,1383321,1373203,1325092,760099,523333,676653,388317,215907
