Unnamed: 1,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Enero,,4360868,4464382,4629028,4681492,4650632,4717853,4710384,4696402,4635271,4688157,4608201,5930106,5313710,3452821,4317437,4869296
Febrero,,4177085,4140902,4258127,4388974,4315468,4354663,4385191,4405026,4399329,4436450,4358303,5483571,5007151,3483768,4414777,4590330
Marzo,,4440112,4616047,4625034,4815375,4800178,4837954,4881917,4842398,4775596,5045208,5955232,6066672,4562926,3500633,5086572,5243987
Abril,4169317.0,4468988,4548749,4773320,4832439,4791477,4915520,4906450,4867275,4804782,5074998,6035199,6106877,1996548,2557460,5483043,5221739
Mayo,4143552.0,4411497,4604695,4899142,4899321,4848235,4898865,4965486,4331584,4896687,5105098,6011283,6256656,1739178,3348064,5571577,5447201
Junio,4135370.0,4501699,4547164,4764592,4809484,4882780,4856162,4833603,5071468,4908933,5072863,5959171,6033356,1410456,3276182,5223471,5267007
Julio,4236374.0,4549934,4591293,4814497,4838842,4895873,4931640,4924108,4994221,4929445,5203467,5916436,6093427,1654744,3880986,4930233,5428784
Agosto,4301607.0,4542309,4627222,4791566,4731859,4876828,4915980,4909040,4791136,4872617,4265386,6024665,6107565,2291731,4209536,5264929,5415585
Septiembre,4294945.0,4529028,4622941,4767144,4760670,4770297,4775815,4810412,4762108,4815789,5246907,5835144,5878925,2923895,4291512,5291972,5396257
Octubre,4402681.0,4620704,4696789,4831509,4780255,4884740,4927626,5019657,4861872,4839856,5310318,6069805,5609993,3452820,4451474,5184040,5534318
Noviembre,4370076.0,4558134,4690548,4795778,4779480,4831016,4870919,4868479,4838014,4802394,5338743,5975833,4890220,3728620,4504765,5247046,5587834
Diciembre,4473133.0,4649603,4737269,4879318,4838668,4907924,4966650,4929106,4903788,4920348,5385965,6086721,5413002,3850865,4686788,5349621,5607711
