Comuna,Casa,Departamento,Pieza dentro viv.,"Mejora, mediagua","Rancho, ruca",Vivienda de desecho,Otro tipo viv.,Hospedería,Punto de calle,Vivienda colectiva,"Residencial, pensión",Sin información**,Total
Santiago,31148.0,142428,40947.0,252,42,37,118,586,709,1919,641,11,218838
Cerrillos,24409.0,8204,5597.0,2096,43,19,41,13,153,324,40,Entre 1 y 9,-
Cerro Navia,45733.0,5699,20481.0,5311,130,77,112,22,183,305,75,Entre 1 y 9,-
Conchalí,44711.0,7710,12212.0,2607,31,24,24,25,225,265,81,0,67915
El Bosque,58842.0,11516,10493.0,2775,23,19,42,68,75,662,153,0,84668
Estación Central,34412.0,37532,18476.0,1687,14,13,27,307,527,231,31,Entre 1 y 9,-
Huechuraba,29208.0,3775,5588.0,1819,23,Entre 1 y 9,18,Entre 1 y 9,106,181,10,0,40740
Independencia,17209.0,27317,16047.0,298,12,10,20,14,89,395,38,0,61449
La Cisterna,22470.0,14196,10801.0,1121,35,15,61,21,38,299,75,0,49132
La Florida,124576.0,37527,13343.0,4181,155,26,67,36,129,518,49,Entre 1 y 9,-
La Granja,47559.0,8276,6508.0,1951,14,Entre 1 y 9,34,34,81,201,Entre 1 y 9,0,64675
La Pintana,68083.0,9651,6969.0,3006,41,21,96,Entre 1 y 9,194,459,Entre 1 y 9,0,88535
La Reina,18898.0,3938,3986.0,594,Entre 1 y 9,Entre 1 y 9,26,Entre 1 y 9,23,373,59,Entre 1 y 9,27918
Las Condes,25357.0,48377,7017.0,452,Entre 1 y 9,Entre 1 y 9,15,20,48,609,166,Entre 1 y 9,82072
Lo Barnechea,15135.0,4560,1877.0,721,Entre 1 y 9,0,32,Entre 1 y 9,66,210,17,Entre 1 y 9,22629
Lo Espejo,32391.0,5720,10085.0,2851,15,14,15,13,98,96,Entre 1 y 9,Entre 1 y 9,51300
Lo Prado,32609.0,13286,5848.0,1775,25,13,Entre 1 y 9,33,117,45,Entre 1 y 9,0,53767
Macul,28540.0,22198,7322.0,2298,12,10,33,Entre 1 y 9,47,287,43,Entre 1 y 9,60799
Maipú,197300.0,27324,19319.0,3416,98,71,87,26,339,275,35,Entre 1 y 9,-
Ñuñoa,19942.0,54912,7077.0,244,Entre 1 y 9,Entre 1 y 9,47,23,147,676,184,Entre 1 y 9,83266
Pedro Aguirre Cerda,33181.0,5857,14056.0,1254,14,27,23,17,84,188,Entre 1 y 9,Entre 1 y 9,54714
Peñalolén,75418.0,13480,15857.0,5040,48,18,73,10,217,236,30,0,110427
Providencia,4463.0,29280,5582.0,24,Entre 1 y 9,0,19,57,144,427,175,Entre 1 y 9,40176
Pudahuel,81680.0,15687,14359.0,2931,54,31,76,50,368,298,56,0,115590
Quilicura,58611.0,19316,18641.0,1333,55,36,56,Entre 1 y 9,245,31,Entre 1 y 9,Entre 1 y 9,98339
Quinta Normal,32034.0,17988,15247.0,2731,46,30,51,72,125,288,100,Entre 1 y 9,-
Recoleta,43801.0,14160,25841.0,2245,28,26,50,146,531,754,33,0,87615
Renca,41695.0,11926,16426.0,4378,39,35,43,84,98,185,13,0,74922
San Joaquín,29785.0,9840,17408.0,1877,24,19,36,11,68,181,29,0,59278
San Miguel,19158.0,36485,9108.0,535,14,12,23,108,145,519,240,0,66347
San Ramón,33585.0,4086,7666.0,2638,16,12,21,Entre 1 y 9,144,44,10,Entre 1 y 9,48231
Vitacura,5109.0,6205,1034.0,Entre 1 y 9,Entre 1 y 9,0,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,163,17,0,12550
Puente Alto,209666.0,25856,29575.0,5135,127,78,105,316,582,777,61,Entre 1 y 9,-
Pirque,9613.0,15,1534.0,684,33,Entre 1 y 9,49,Entre 1 y 9,Entre 1 y 9,66,20,0,12031
San José de Maipo,6545.0,45,1115.0,693,79,Entre 1 y 9,67,16,Entre 1 y 9,110,34,0,8718
Colina,35434.0,4713,17091.0,1198,71,40,76,116,83,544,56,0,59422
Lampa,40500.0,772,6666.0,4185,180,45,220,31,20,374,41,0,53034
Tiltil,7881.0,Entre 1 y 9,1411.0,654,25,Entre 1 y 9,39,0,Entre 1 y 9,51,Entre 1 y 9,0,10083
San Bernardo,94084.0,21409,21528.0,6391,88,98,111,96,467,505,43,11,144831
Buin,41276.0,184,8217.0,1973,79,27,57,30,32,352,53,Entre 1 y 9,52282
Calera de Tango,8684.0,Entre 1 y 9,889.0,820,12,Entre 1 y 9,36,Entre 1 y 9,Entre 1 y 9,67,Entre 1 y 9,0,10530
Paine,30302.0,526,6334.0,1866,159,18,96,13,40,357,14,0,39725
Melipilla,44203.0,3874,15740.0,1917,61,18,76,61,147,331,27,0,66455
Alhué,2656.0,13,846.0,215,14,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,161,11,0,3931
Curacaví,13235.0,303,3623.0,1027,62,Entre 1 y 9,55,Entre 1 y 9,18,55,37,Entre 1 y 9,18431
María Pinto,5364.0,Entre 1 y 9,1569.0,530,26,Entre 1 y 9,15,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,0,7526
San Pedro,3786.0,Entre 1 y 9,780.0,460,60,Entre 1 y 9,29,0,0,Entre 1 y 9,Entre 1 y 9,0,5144
Talagante,29505.0,2254,5783.0,1785,52,31,50,10,60,223,21,0,39774
El Monte,14678.0,1013,3101.0,666,55,Entre 1 y 9,20,Entre 1 y 9,39,154,Entre 1 y 9,0,19744
Isla de Maipo,11926.0,14,4138.0,1104,89,Entre 1 y 9,32,Entre 1 y 9,0,49,Entre 1 y 9,0,17360
Padre Hurtado,25597.0,372,7580.0,1323,29,14,50,Entre 1 y 9,42,122,83,Entre 1 y 9,35218
Peñaflor,30796.0,3129,4680.0,808,29,Entre 1 y 9,37,Entre 1 y 9,23,451,32,0,39998
Región Metropolitana,2042783.0,742973,533418.0,*,2414,1080,2622,2576,7135,16408,2998,73,3452364
