Comuna,Casa,Departamento,Pieza dentro de la vivienda,"Mejora, mediagua","Rancho, ruca o choza",Vivienda de desecho,Otro tipo de vivienda,Hospedería,Caleta o punto de calle,Vivienda colectiva,"Residencial, pensión"
Santiago,31412.0,139083,40723.0,261.0,39,36,117,507,669,1960,796
Cerrillos,24506.0,8038,5569.0,1908.0,44,24,44,14,159,320,49
Cerro Navia,46449.0,5603,19934.0,5523.0,136,74,124,32,208,321,98
Conchalí,45017.0,7688,12196.0,2713.0,33,23,27,28,219,291,99
El Bosque,59091.0,11371,10318.0,2860.0,23,20,43,69,84,648,185
Estación Central,34288.0,36240,18728.0,1821.0,16,12,28,347,555,195,54
Huechuraba,28756.0,3659,5380.0,1903.0,19,12,21,Entre 1 y 9,109,129,15
Independencia,17390.0,26814,15963.0,319.0,12,Entre 1 y 9,20,15,96,454,54
La Cisterna,22402.0,13130,10662.0,1130.0,37,15,69,20,45,290,111
La Florida,124209.0,36384,12741.0,4344.0,172,24,70,51,137,491,73
La Granja,47329.0,8179,6759.0,2056.0,13,Entre 1 y 9,36,32,86,209,11
La Pintana,67810.0,9543,7146.0,3096.0,42,23,100,Entre 1 y 9,196,478,11
La Reina,18443.0,3805,3843.0,588.0,Entre 1 y 9,Entre 1 y 9,25,Entre 1 y 9,23,381,68
Las Condes,24200.0,45059,6866.0,452.0,Entre 1 y 9,Entre 1 y 9,19,23,32,539,146
Lo Barnechea,14542.0,4277,1804.0,753.0,Entre 1 y 9,0,33,Entre 1 y 9,58,180,16
Lo Espejo,32094.0,5685,10268.0,3024.0,19,13,17,16,100,99,Entre 1 y 9
Lo Prado,32507.0,13257,6075.0,1890.0,29,15,Entre 1 y 9,22,132,59,11
Macul,28534.0,21746,7210.0,2406.0,11,10,33,Entre 1 y 9,45,271,64
Maipú,195841.0,27215,19284.0,3519.0,108,81,87,29,297,291,43
Ñuñoa,19426.0,52345,7077.0,240.0,Entre 1 y 9,Entre 1 y 9,48,23,155,556,176
Pedro Aguirre Cerda,33491.0,5921,13677.0,1309.0,15,27,23,22,81,181,Entre 1 y 9
Peñalolén,74133.0,13238,16494.0,5367.0,53,20,77,12,174,235,33
Providencia,4349.0,28479,5628.0,24.0,Entre 1 y 9,0,20,67,154,371,168
Pudahuel,80710.0,15327,14833.0,3004.0,55,30,81,58,287,343,77
Quilicura,58094.0,19133,18868.0,1329.0,60,35,61,Entre 1 y 9,246,32,14
Quinta Normal,31770.0,17782,15465.0,2860.0,51,30,59,78,128,313,148
Recoleta,44301.0,13960,25194.0,2399.0,32,28,49,164,557,740,42
Renca,42016.0,11819,16067.0,4616.0,46,34,46,93,89,205,18
San Joaquín,29220.0,9344,17762.0,2015.0,23,20,37,14,75,178,44
San Miguel,19049.0,34946,9012.0,553.0,16,10,24,111,151,549,311
San Ramón,33400.0,4090,7934.0,2789.0,17,11,20,Entre 1 y 9,148,43,Entre 1 y 9
Vitacura,4800.0,5609,1033.0,11.0,Entre 1 y 9,0,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,99,13
Puente Alto,208823.0,25771,28096.0,5085.0,130,75,107,335,608,808,77
Pirque,9482.0,15,1479.0,700.0,34,Entre 1 y 9,48,Entre 1 y 9,Entre 1 y 9,71,23
San José de Maipo,6453.0,48,1063.0,695.0,84,Entre 1 y 9,69,16,Entre 1 y 9,106,39
Colina,34948.0,4708,16419.0,1164.0,79,26,75,129,87,517,69
Lampa,39386.0,657,6182.0,4009.0,192,36,200,35,18,395,52
Tiltil,7667.0,Entre 1 y 9,1448.0,674.0,25,Entre 1 y 9,37,0,Entre 1 y 9,45,Entre 1 y 9
San Bernardo,93451.0,21201,21019.0,6629.0,95,98,112,116,485,532,48
Buin,40260.0,168,7803.0,1990.0,84,26,50,31,36,361,56
Calera de Tango,8563.0,10,922.0,837.0,13,Entre 1 y 9,33,Entre 1 y 9,Entre 1 y 9,74,Entre 1 y 9
Paine,29201.0,520,6421.0,1992.0,168,19,96,16,45,382,22
Melipilla,43743.0,3696,15016.0,1899.0,66,18,69,69,137,330,29
Alhué,2533.0,11,766.0,230.0,15,0,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,159,13
Curacaví,12823.0,247,3673.0,1052.0,68,Entre 1 y 9,51,Entre 1 y 9,18,53,42
María Pinto,5208.0,Entre 1 y 9,1512.0,541.0,26,Entre 1 y 9,16,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9
San Pedro,3663.0,Entre 1 y 9,714.0,459.0,59,Entre 1 y 9,28,0,0,Entre 1 y 9,Entre 1 y 9
Talagante,28661.0,2194,5714.0,1817.0,49,31,48,10,68,177,20
El Monte,14662.0,1038,3054.0,678.0,64,Entre 1 y 9,18,Entre 1 y 9,45,157,Entre 1 y 9
Isla de Maipo,11741.0,14,3985.0,1118.0,95,Entre 1 y 9,33,Entre 1 y 9,0,45,Entre 1 y 9
Padre Hurtado,24776.0,319,7287.0,1330.0,29,14,49,Entre 1 y 9,48,131,95
Peñaflor,30682.0,3161,4339.0,821.0,32,Entre 1 y 9,36,Entre 1 y 9,27,477,39
Región Metropolitana,2026305.0,722561,527425.0,100802.0,2562,1065,2647,2702,7135,16285,3624
