Comuna,Total de hombres jefes de hogar con RSH*,Total de mujeres jefas de hogar con RSH**,Total de hogares con RSH***
Santiago,105063.0,110441.0,215504.0
Cerrillos,19368.0,21302.0,40670.0
Cerro Navia,38909.0,39571.0,78480.0
Conchalí,34061.0,34257.0,68318.0
El Bosque,41286.0,43400.0,84686.0
Estación Central,45404.0,46869.0,92273.0
Huechuraba,18879.0,21128.0,40007.0
Independencia,29017.0,32113.0,61130.0
La Cisterna,22375.0,25507.0,47882.0
La Florida,83224.0,95466.0,178690.0
La Granja,31514.0,33199.0,64713.0
La Pintana,43251.0,45201.0,88452.0
La Reina,12144.0,15052.0,27196.0
Las Condes,32267.0,45066.0,77333.0
Lo Barnechea,9309.0,12366.0,21675.0
Lo Espejo,26025.0,25312.0,51337.0
Lo Prado,25970.0,28032.0,54002.0
Macul,27392.0,32930.0,60322.0
Maipú,115955.0,130838.0,246793.0
Ñuñoa,33908.0,46140.0,80048.0
Pedro Aguirre Cerda,26465.0,28299.0,54764.0
Peñalolén,49640.0,60194.0,109834.0
Providencia,16529.0,22728.0,39257.0
Pudahuel,51982.0,62807.0,114789.0
Quilicura,46714.0,51164.0,97878.0
Quinta Normal,32382.0,36266.0,68648.0
Recoleta,42199.0,45260.0,87459.0
Renca,35709.0,39336.0,75045.0
San Joaquín,27145.0,31578.0,58723.0
San Miguel,29656.0,35003.0,64659.0
San Ramón,24497.0,23972.0,48469.0
Vitacura,4521.0,7058.0,11579.0
Puente Alto,127489.0,142425.0,269914.0
Pirque,6457.0,5407.0,11864.0
San José de Maipo,4266.0,4316.0,8582.0
Colina,28422.0,29791.0,58213.0
Lampa,25289.0,25864.0,51153.0
Tiltil,4920.0,4995.0,9915.0
San Bernardo,68759.0,75035.0,143794.0
Buin,24849.0,26013.0,50862.0
Calera de Tango,5193.0,5270.0,10463.0
Paine,20201.0,18677.0,38878.0
Melipilla,34195.0,30872.0,65067.0
Alhué,1976.0,1763.0,3739.0
Curacaví,9064.0,8977.0,18041.0
María Pinto,3913.0,3411.0,7324.0
San Pedro,3044.0,1903.0,4947.0
Talagante,17934.0,20853.0,38787.0
El Monte,9396.0,10336.0,19732.0
Isla de Maipo,8906.0,8133.0,17039.0
Padre Hurtado,17079.0,17000.0,34079.0
Peñaflor,19866.0,19757.0,39623.0
Región Metropolitana,1623978.0,1788653.0,3412631.0
