Comuna,Número de NNA 40% menores ingresos*,Número de NNA 60% menores ingresos**,Total de NNA con RSH***
Santiago,31115.0,39618.0,59630.0
Cerrillos,11043.0,13295.0,17820.0
Cerro Navia,23403.0,27391.0,31869.0
Conchalí,16789.0,20692.0,26524.0
El Bosque,25916.0,30297.0,36506.0
Estación Central,19803.0,24776.0,32468.0
Huechuraba,10899.0,13084.0,20309.0
Independencia,13369.0,16909.0,22291.0
La Cisterna,9399.0,11903.0,17600.0
La Florida,36694.0,45077.0,69408.0
La Granja,18717.0,22179.0,26938.0
La Pintana,37072.0,42587.0,47658.0
La Reina,3712.0,4980.0,10524.0
Las Condes,5342.0,7010.0,23409.0
Lo Barnechea,5308.0,6547.0,10477.0
Lo Espejo,16963.0,19783.0,22869.0
Lo Prado,13745.0,16421.0,20139.0
Macul,9953.0,12629.0,20969.0
Maipú,50106.0,63771.0,100624.0
Ñuñoa,6630.0,8896.0,24984.0
Pedro Aguirre Cerda,14860.0,17879.0,22038.0
Peñalolén,29118.0,34550.0,46170.0
Providencia,1834.0,2443.0,9195.0
Pudahuel,30859.0,37482.0,51270.0
Quilicura,27096.0,34276.0,49508.0
Quinta Normal,15075.0,18881.0,25087.0
Recoleta,22932.0,27197.0,33889.0
Renca,23767.0,28516.0,35661.0
San Joaquín,13279.0,15809.0,20563.0
San Miguel,9012.0,11920.0,22253.0
San Ramón,13894.0,16233.0,19363.0
Vitacura,370.0,526.0,3948.0
Puente Alto,72748.0,88090.0,124270.0
Pirque,3306.0,4123.0,5951.0
San José de Maipo,2165.0,2658.0,3691.0
Colina,20708.0,24062.0,32651.0
Lampa,17878.0,21219.0,30124.0
Tiltil,2843.0,3386.0,4660.0
San Bernardo,47497.0,56677.0,73053.0
Buin,15581.0,18504.0,25914.0
Calera de Tango,3272.0,3952.0,5278.0
Paine,12544.0,14708.0,18349.0
Melipilla,21562.0,24861.0,30813.0
Alhué,930.0,1108.0,1704.0
Curacaví,5542.0,6354.0,8074.0
María Pinto,2486.0,2935.0,3604.0
San Pedro,1669.0,1979.0,2351.0
Talagante,11221.0,13167.0,17404.0
El Monte,6879.0,7898.0,9486.0
Isla de Maipo,5578.0,6606.0,8459.0
Padre Hurtado,9733.0,12036.0,17157.0
Peñaflor,11967.0,14848.0,20826.0
Región Metropolitana,844183.0,1022728.0,1425780.0
