Comuna,Sin hacinamiento,Hacinamiento medio,Hacinamiento crítico,Sin información*,Total
Santiago,201587.0,13660.0,804.0,3872.0,219923.0
Cerrillos,36770.0,3472.0,265.0,523.0,41030.0
Cerro Navia,68111.0,7595.0,661.0,608.0,76975.0
Conchalí,60502.0,5673.0,413.0,607.0,67195.0
El Bosque,75577.0,7003.0,562.0,967.0,84109.0
Estación Central,83451.0,8551.0,550.0,1071.0,93623.0
Huechuraba,37188.0,3367.0,283.0,296.0,41134.0
Independencia,54934.0,5581.0,395.0,534.0,61444.0
La Cisterna,46283.0,2860.0,210.0,429.0,49782.0
La Florida,168297.0,11949.0,759.0,803.0,181808.0
La Granja,57650.0,6010.0,586.0,335.0,64581.0
La Pintana,76215.0,10301.0,1175.0,748.0,88439.0
La Reina,26507.0,1363.0,73.0,453.0,28396.0
Las Condes,81552.0,2716.0,176.0,868.0,85312.0
Lo Barnechea,21130.0,1782.0,189.0,328.0,23429.0
Lo Espejo,44855.0,5605.0,574.0,247.0,51281.0
Lo Prado,47805.0,5092.0,372.0,213.0,53482.0
Macul,56868.0,3393.0,205.0,380.0,60846.0
Maipú,232098.0,15508.0,929.0,720.0,249255.0
Ñuñoa,82231.0,2777.0,122.0,1033.0,86163.0
Pedro Aguirre Cerda,48736.0,5044.0,457.0,343.0,54580.0
Peñalolén,100405.0,8868.0,615.0,626.0,110514.0
Providencia,38739.0,902.0,33.0,819.0,40493.0
Pudahuel,105360.0,9575.0,720.0,836.0,116491.0
Quilicura,89775.0,8072.0,559.0,293.0,98699.0
Quinta Normal,62028.0,5580.0,371.0,592.0,68571.0
Recoleta,76411.0,8170.0,685.0,1367.0,86633.0
Renca,67205.0,6372.0,492.0,527.0,74596.0
San Joaquín,54315.0,4715.0,341.0,315.0,59686.0
San Miguel,62496.0,3504.0,177.0,1007.0,67184.0
San Ramón,42534.0,4838.0,404.0,286.0,48062.0
Vitacura,12648.0,233.0,5.0,230.0,13116.0
Puente Alto,251898.0,18843.0,1306.0,1776.0,273823.0
Pirque,11037.0,1041.0,93.0,101.0,12272.0
San José de Maipo,7972.0,617.0,41.0,147.0,8777.0
Colina,54232.0,4953.0,424.0,779.0,60388.0
Lampa,49257.0,4566.0,364.0,492.0,54679.0
Tiltil,9178.0,844.0,66.0,73.0,10161.0
San Bernardo,130971.0,12078.0,1149.0,1090.0,145288.0
Buin,48390.0,4328.0,302.0,515.0,53535.0
Calera de Tango,9481.0,903.0,75.0,65.0,10524.0
Paine,37000.0,3299.0,243.0,431.0,40973.0
Melipilla,61355.0,5306.0,298.0,592.0,67551.0
Alhué,3645.0,273.0,14.0,173.0,4105.0
Curacaví,17219.0,1280.0,85.0,126.0,18710.0
María Pinto,6806.0,710.0,73.0,16.0,7605.0
San Pedro,4735.0,454.0,58.0,29.0,5276.0
Talagante,36860.0,3304.0,244.0,343.0,40751.0
El Monte,17794.0,1577.0,104.0,205.0,19680.0
Isla de Maipo,16222.0,1530.0,106.0,65.0,17923.0
Padre Hurtado,33025.0,2811.0,174.0,252.0,36262.0
Peñaflor,36398.0,3039.0,187.0,501.0,40125.0
Región Metropolitana,3163738.0,261887.0,19568.0,30047.0,3475240.0
