Comuna,Población en RSH a septiembre de 2024*,Proyección de población INE a 2024**,% de población en  RSH
Santiago,343244.0,544388.0,0.6305135307905391
Cerrillos,76937.0,90182.0,0.8531303364307733
Cerro Navia,136231.0,139632.0,0.9756431190558038
Conchalí,121174.0,136674.0,0.8865914511904239
El Bosque,153645.0,169855.0,0.9045656589443938
Estación Central,160237.0,221901.0,0.722110310453761
Huechuraba,81990.0,118327.0,0.6929103247779459
Independencia,104886.0,153624.0,0.6827448836119356
La Cisterna,87276.0,101401.0,0.8607015709904241
La Florida,328191.0,407297.0,0.8057780931359672
La Granja,117557.0,119321.0,0.9852163491757528
La Pintana,180363.0,188980.0,0.9544025822838396
La Reina,53885.0,99212.0,0.5431298633229851
Las Condes,158187.0,343632.0,0.4603383852493365
Lo Barnechea,46417.0,131053.0,0.3541849480744432
Lo Espejo,95963.0,100694.0,0.953016068484716
Lo Prado,93639.0,102078.0,0.9173279257038736
Macul,105875.0,138361.0,0.7652084041023121
Maipú,458451.0,586812.0,0.781257029508599
Ñuñoa,149157.0,266906.0,0.5588371936187272
Pedro Aguirre Cerda,100434.0,104462.0,0.961440523826846
Peñalolén,202435.0,272913.0,0.741756530469417
Providencia,64385.0,164009.0,0.3925699199434177
Pudahuel,216489.0,261596.0,0.827569993424976
Quilicura,193982.0,275744.0,0.7034858419403505
Quinta Normal,118829.0,141823.0,0.8378683288324179
Recoleta,154270.0,196856.0,0.7836692810988743
Renca,141742.0,163102.0,0.8690390062660176
San Joaquín,99291.0,103118.0,0.9628871777963112
San Miguel,114278.0,145424.0,0.7858262735174386
San Ramón,84069.0,83695.0,1.00446860624888
Vitacura,25179.0,97049.0,0.2594462591062247
Puente Alto,516565.0,667904.0,0.773412047240322
Pirque,24721.0,33021.0,0.7486448017927986
San José de Maipo,16096.0,19519.0,0.8246324094472053
Colina,118867.0,197370.0,0.6022546486294776
Lampa,107289.0,143032.0,0.7501048716371161
Tiltil,18979.0,22482.0,0.8441864602793345
San Bernardo,285131.0,348640.0,0.8178378843506195
Buin,103389.0,117982.0,0.8763116407587598
Calera de Tango,21293.0,30283.0,0.7031337714229106
Paine,78176.0,88317.0,0.8851749946216471
Melipilla,133227.0,148899.0,0.8947474462555155
Alhué,7565.0,7856.0,0.9629582484725052
Curacaví,34921.0,38367.0,0.9101832303802748
María Pinto,15368.0,15669.0,0.9807900950922204
San Pedro,10679.0,12544.0,0.8513233418367347
Talagante,74102.0,85514.0,0.866548167551512
El Monte,37069.0,42233.0,0.877725948902517
Isla de Maipo,35531.0,42393.0,0.8381336541410138
Padre Hurtado,69710.0,81743.0,0.8527947347173458
Peñaflor,84477.0,106840.0,0.7906870086110072
Región Metropolitana,6361843.0,8420729.0,0.7554978909783227
